first_block_height_in_kth_adjustment_list,last_block_height_in_kth_adjustment,total_t,avg_t_min,avg_t_sec,block_difficulty,estimated_hash_rate
209664,211679,20572.999999999996,10.204861111111109,612.2916666666665,3438908.960159138,24122493121967.8
211680,213695,22804.350000000013,11.311681547619054,678.7008928571432,3370181.799277837,21327245568423.742
213696,215711,18485.200000000055,9.16924603174606,550.1547619047635,2979636.616938074,23261530590783.934
215712,217727,22096.083333333314,10.960358796296287,657.6215277777773,3249549.584487207,21223011417015.5
217728,219743,18286.583333333354,9.07072585978837,544.2435515873021,2968775.332075074,23428468602422.434
219744,221759,18091.600000000006,8.97400793650794,538.4404761904764,3275464.586565617,26127332361857.668
221760,223775,16853.71666666667,8.359978505291007,501.5987103174604,3651011.630693214,31261993359629.133
223776,225791,18168.383333333368,9.012094907407425,540.7256944444455,4367876.000842196,34693902600420.82
225792,227807,14600.350000000002,7.242237103174604,434.53422619047626,4847647.152065606,47914490334169.31
227808,229823,17605.133333333346,8.732705026455033,523.962301587302,6695826.282596251,54886305400840.875
229824,231839,17264.466666666645,8.563723544973534,513.8234126984121,7672999.920164138,64137372694339.72
231840,233855,17960.10000000001,8.908779761904766,534.526785714286,8974296.01488785,72109216822614.12
233856,235871,18174.999999999967,9.015376984126968,540.9226190476181,10076292.88341872,80006542295084.14
235872,237887,18560.166666666693,9.206431878306892,552.3859126984136,11187257.46136079,86984305399384.55
237888,239903,15703.466666666644,7.789417989417978,467.36507936507866,12153411.70977583,111686790761566.86
239904,241919,16277.233333333332,8.07402447089947,484.4414682539682,15605632.68128593,138356615590913.22
241920,243935,18278.049999999967,9.066493055555538,543.9895833333323,19339258.27238668,152689471184050.06
243936,245951,16451.01666666667,8.160226521164024,489.61359126984144,21335329.113983,187156856810886.56
245952,247967,16875.100000000006,8.37058531746032,502.23511904761915,26162875.6825699,223737232153407.44
247968,249983,16871.43333333334,8.368766534391538,502.1259920634923,31256960.72776893,267358444334721.3
249984,251999,14839.183333333298,7.360706018518501,441.64236111111006,37392766.13647456,363644255635002.25
252000,254015,15582.516666666641,7.729422949735437,463.76537698412625,50810339.04827648,470558509413023.2
254016,256031,15265.51666666667,7.572180886243388,454.3308531746033,65750060.14908481,621561040983993.0
256032,258047,15565.35000000004,7.720907738095258,463.25446428571547,86933017.77119441,805981371049638.6
258048,260063,15259.900000000007,7.569394841269845,454.1636904761907,112628548.6663471,1065113621502212.1
260064,262079,15858.049999999997,7.866096230158729,471.96577380952374,148819199.8050926,1354279550867856.8
262080,264095,14275.733333333357,7.081216931216943,424.8730158730166,189281249.2810329,1913411172365512.8
264096,266111,13807.933333333345,6.849173280423286,410.95039682539715,267731249.4824211,2798140528704195.0
266112,268127,15426.366666666638,7.6519675925925785,459.1180555555547,390928787.6380858,3657068890350665.5
268128,270143,16922.60000000003,8.394146825396842,503.6488095238105,510929738.0161518,4357056889319374.5
270144,272159,17442.06666666667,8.651818783068784,519.109126984127,609482679.8883545,5042693417484379.0
272160,274175,15716.833333333314,7.796048280423271,467.7628968253963,707408283.0514966,6495375031337309.0
274176,276191,15507.199999999988,7.692063492063486,461.5238095238092,908350862.437022,8453165723964976.0
276192,278207,16817.350000000013,8.341939484126991,500.51636904761943,1180923195.258026,1.013358766342063e+16
278208,280223,15982.800000000003,7.927976190476192,475.67857142857156,1418481395.262635,1.2807663764085068e+16
280224,282239,16446.733333333344,8.158101851851857,489.4861111111114,1789546951.053241,1.57022752126372e+16
282240,284255,16875.550000000003,8.370808531746032,502.2485119047619,2193847870.174279,1.8760642652903492e+16
284256,286271,16920.050000000003,8.392881944444445,503.57291666666674,2621404453.064615,2.2357926772606652e+16
286272,288287,16538.049999999992,8.203397817460313,492.2038690476188,3129573174.522287,2.7308632215793732e+16
288288,290303,18110.083333333336,8.983176256613758,538.9905753968255,3815723798.81463,3.040574302140987e+16
290304,292319,17117.366666666687,8.490757275132285,509.44543650793713,4250217919.869535,3.5832192534378304e+16
292320,294335,16498.53333333334,8.1837962962963,491.02777777777806,5006860589.2054,4.379447245039685e+16
294336,296351,17695.083333333343,8.777323082010588,526.6393849206353,6119726089.128147,4.990895889270489e+16
296352,298367,17592.666666666704,8.726521164021182,523.5912698412709,6978842649.592383,5.724675461647021e+16
298368,300383,18225.700000000015,9.0405257936508,542.431547619048,8000872135.968163,6.335082152632196e+16
300384,302399,17070.8,8.46765873015873,508.0595238095238,8853416309.1278,7.484385534288872e+16
302400,304415,17932.783333333304,8.895229828042313,533.7137896825387,10455720138.48484,8.414055795266662e+16
304416,306431,17613.28333333332,8.736747685185177,524.2048611111106,11756551916.90395,9.632494801708038e+16
306432,308447,16136.900000000023,8.004414682539695,480.2648809523817,13462580114.52534,1.2039468969083179e+17
